Категория,Услуга,Цена,Оставить поментку 
Диагностика АВТО,Комплексная диагностика,1200,Целевая (Пример)
,Компьютерная диагностика,1000,
Ремонт выхлопной системы,Ремонт выхлопной системы,1500,
,Диагностика выхлопной системы,1500,
,Замена выпускного коллектора,5000,
,Замена приёмной трубы глушителя,1500,
,Замена прокладки приёмной трубки,1000,
,Ремонт выхлопной системы,1000,
,Ремонт глушителя,1000,
,Ремонт гофры глушителя,1500,
,Замена глушителя,2500,
,Замена гофры глушителя,2000,
,Замена резонатора,1500,
Ремонт Двигателя,Диагностика двигателя,2125,
,Ремонт двигателя,85000,
,Замена ГРМ,5000,
,Замена масла в двигателе,2125,
,Замена поршневой группы,85000,
,Промывка двигателя,1275,
,Регулировка клапанов,3000,
,Ремонт блока цилиндра,15000,
,Ремонт головки блока цилиндра,42500,
,Ремонт бензинового двигателя,45000,
,Ремонт дизельного двигателя,50000,
,Ремонт системы охлаждения двигателя,4250,
,Замена бензинового двигателя,40000,
,Замена дизельного двигателя,50000,
,Замена форсунок,1000,
,Замена антифриза,3400,
,Замена бензонасоса,2000,
,Замена водяного насоса,3000,
,Замена воздушного фильтра,850,
,Замена масла в заднем редукторе,800,
,Замена масла в переднем редукторе,800,
,Замена натяжителя приводного ремня,2000,
,Замена приводного ремня,2000,
,Замена прокладки клапанной крышки,1500,
,Замена ролика приводного ремня,2000,
,Замена свечей зажигания,2125,
,Замена термостата,2000,
,Замена топливного фильтра,1000,
,Переклейка поддона ДВС,12000,
,Ремонт коленвала,12750,
,Ремонт турбин,20000,
,Установка защиты картера,1500,
,Чистка дроссельной заслонки,2975,
Ремонт Кондиционера и отопления авто,Антибактериальная обработка автокондиционера,1000,
,Диагностика автокондиционера,1000,
,Заправка автокондиционера,3500,
,Оппрессовка автокондиционера,2000,
,Промывка автокондиционера,2000,
,Ремонт автокондиционера,5000,
,Ремонт климат-контроля,5000,
,Ремонт компрессора автокондиционера,8000,
,Ремонт радиатора,3500,
,Замена радиатора,5000,
,Замена салонного фильтра,500,
Ремонт Подвески,Диагностика пневматической подвески,1500,
,Диагностика подвески,1000,
,Замена опорного подшипника,2500,
,Замена опоры амортизатора,2500,
,Замена поворотного кулака,5000,
,Замена сайлентблоков,2500,
,Замена стоек стабилизатора,1000,
,Замена ступицы,4000,
,Замена шаровой опоры,1500,
,Ремонт подвески,10000,
,Замена амортизатора,3000,
,Замена стабилизатора,4000,
,Замена втулок стабилизатора,1000,
,Замена подшипника полуоси,3000,
,Замена пружин подвески,3000,
,Замена рычагов подвески,2500,
,Перепрессовка сайлентблока рычага,2000,
Ремонт Рулевого управления,Диагностика рулевого управления,1000,
,Замена жидкости гидроусилителя,1000,
,Замена насоса гидроусилителя,5000,
,Замена ремня гидроусилителя,1000,
,Замена рулевого наконечника,1500,
,Замена рулевой тяги,2500,
,Замена сальника,2000,
,Замена ШРУСа,4000,
,Ремонт гидроусилителя,7000,
,Ремонт рулевой рейки,8000,
,Ремонт кардана рулевого вала,4000,
,Ремонт рулевого механизма,9000,
,Замена гидроусилителя,8500,
,Замена рулевой рейки,8500,
,Замена жидкости ГУР,1000,
Ремонт тормозной системы,Диагностика тормозной системы,1000,
,Замена датчика ABS,2000,
,Замена тормозной жидкости,1500,
,Замена тормозных барабанов,3500,
,Замена тормозных дисков,4000,
,Замена тормозных колодок,2500,
,Замена тормозных цилиндров,2000,
,Прокачка тормозов,1000,
,Промывка тормозной системы,2000,
,Регулировка стояночного тормоза,1000,
,Ремонт ручного тормоза,3000,
,Ремонт тормозного шланга,2000,
,Ремонт тормозных суппортов,3500,
,Замена ручного тормоза,2500,
,Замена тормозного шланга,1500,
,Замена тормозных суппортов,2500,
,Диагностика ABS,1500,
,Замена блока ABS,10000,
,Замена троса стояночного тормоза,2500,
,Проточка тормозных дисков,2000,
,Ревизия тормозных суппортов,6000,
Ремонт Трансмиссии,Диагностика АКПП,2500,
,Диагностика МКПП,2000,
,Диагностика РКПП,2000,
,Замена масла в коробке передач,2000,
,Ремонт вариатора,40000,
,Ремонт АКПП,50000,
,Ремонт гидроблока,25000,
,Ремонт гидротрансформатора,20000,
,Ремонт карданного вала,6000,
,Ремонт МКПП,30000,
,Ремонт раздаточной коробки,20000,
,Замена редуктора,12000,
,Ремонт РКПП,35000,
,Ремонт сцепления,8000,
,Ремонт и регулировка дифференциала,15000,
,Ремонт мостов,20000,
,Ремонт привода,50000,
,Ремонт редуктора,12000,
,Замена АКПП,40000,
,Замена гидроблока,25000,
,Замена гидротрансформатора,20000,
,Замена МКПП,35000,
,Замена раздаточной коробки,25000,
,Замена РКПП,40000,
,Замена сцепления,8000,
,Замена карданного вала,10000,
,Диагностика полного привода,2000,
,Замена масла в раздаточной коробке,1500,
,Замена подвесного подшипника привода,7000,
,Переклейка поддона КПП,25000,
,Профилактика полного привода,5000,
,Регулировка кулисы КПП,4000,
,Ремонт полного привода,20000,
Ремонт Электрооборудования,Диагностика электрооборудования,15000,
,Замена проводки,6000,
,Ремонт блока управления двигателем,7000,
,Ремонт вентилятора охлаждения двигателя,4000,
,Ремонт генератора,6000,
,Ремонт датчиков,1500,
,Ремонт стартера,4000,
,Ремонт стеклоподъёмника,2500,
,Ремонт фар,2000,
,Ремонт системы зажигания,5000,
,Ремонт стеклоочистителей,2000,
,Ремонт центрального замка,2500,
,Ремонт электронного блока управления,7000,
,Замена генератора,7000,
,Замена датчиков,1000,
,Замена стартера,4000,
,Замена стеклоподъёмника,3000,
,Замена фар,2500,
,Замена датчика давления масла,1000,
,Замена датчика скорости,1500,
,Замена насоса омывателя стекла,1500,